school_name,year,StudentID,First Name,Last Name,Year Level,Class,Subject,Answers,Correct Answers,Question Number,Subject Contents,Assessment Areas,sydney_correct_count_percentage,sydney_average_score,sydney_participants,student_score,student_total_assessed,student_area_assessed_score,total_area_assessed_score,participant,correct_answer_percentage_per_class,average_score,school_percentile,sydney_percentile,strength_status,high_distinct_count,distinct_count,credit_count,participant_count,award
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,History,D,C,2,Subject Content 1 for History,Assessment Area 1 for History,75.02,0.86,24,85.19,19,40.81,29.15,70,29.04,32.86,6,40,W,51,90,33,84,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,History,C,C,10,Subject Content 2 for History,Assessment Area 2 for History,99.54,3.5,94,66.05,59,33.72,20.05,60,37.81,15.23,96,44,W,64,86,70,88,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,History,D,B,15,Subject Content 3 for History,Assessment Area 3 for History,27.09,76.37,83,1.84,15,81.85,2.13,75,69.54,11.7,77,1,W,21,23,47,78,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,History,A,A,18,Subject Content 4 for History,Assessment Area 4 for History,79.93,33.62,37,32.9,81,77.74,70.45,52,86.83,95.92,17,23,W,58,12,86,91,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,History,A,A,25,Subject Content 5 for History,Assessment Area 5 for History,55.06,60.98,92,93.89,18,46.28,81.7,79,39.44,9.67,95,14,W,41,19,11,97,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,History,A,D,8,Subject Content 6 for History,Assessment Area 6 for History,47.01,88.07,50,79.38,78,14.49,10.46,91,35.61,84.04,94,82,W,77,5,65,73,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,History,D,Z,17,Subject Content 7 for History,Assessment Area 7 for History,15.13,64.04,43,14.38,96,20.07,69.38,45,58.64,53.85,9,87,W,81,50,67,84,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,History,C,D,5,Subject Content 8 for History,Assessment Area 8 for History,38.12,89.27,22,69.97,66,83.57,35.54,82,68.11,37.38,40,23,W,9,49,11,44,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,History,B,B,24,Subject Content 9 for History,Assessment Area 9 for History,92.55,49.88,88,38.77,90,25.9,38.32,50,69.26,93.91,59,7,W,38,74,62,80,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,History,D,B,23,Subject Content 10 for History,Assessment Area 10 for History,23.76,94.72,92,98.68,62,25.1,81.92,16,40.3,65.93,13,18,W,57,33,22,50,Credit
