school_name,year,StudentID,First Name,Last Name,Year Level,Class,Subject,Answers,Correct Answers,Question Number,Subject Contents,Assessment Areas,sydney_correct_count_percentage,sydney_average_score,sydney_participants,student_score,student_total_assessed,student_area_assessed_score,total_area_assessed_score,participant,correct_answer_percentage_per_class,average_score,school_percentile,sydney_percentile,strength_status,high_distinct_count,distinct_count,credit_count,participant_count,awarDistinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,C,Z,18,Subject Content 1 for Art,Assessment Area 1 for Art,49.35,93.42,39,61.94,62,25.24,56.59,36,76.65,54.76,85,61,W,80,51,25,97,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,C,C,17,Subject Content 2 for Art,Assessment Area 2 for Art,31.27,49.81,47,95.11,48,75.76,3.32,33,4.16,28.05,29,25,W,23,74,85,89,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,C,C,2,Subject Content 3 for Art,Assessment Area 3 for Art,20.38,13.96,65,36.05,16,94.08,33.57,46,5.16,66.37,33,40,W,92,76,22,5,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,C,C,16,Subject Content 4 for Art,Assessment Area 4 for Art,74.2,43.85,22,48.74,88,51.3,40.16,85,75.54,49.93,14,69,W,19,80,5,68,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,C,Z,15,Subject Content 5 for Art,Assessment Area 5 for Art,29.44,14.96,57,23.02,34,52.64,46.61,38,0.45,52.92,93,23,W,7,64,79,60,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,C,Z,7,Subject Content 6 for Art,Assessment Area 6 for Art,59.86,26.19,27,0,94,23.86,85.92,12,50.23,46.5,61,9,W,97,1,19,9,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,A,Z,3,Subject Content 7 for Art,Assessment Area 7 for Art,97.76,72.61,43,90.29,82,16.28,32.3,18,63.99,15.47,51,23,W,88,32,81,40,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,B,A,1,Subject Content 8 for Art,Assessment Area 8 for Art,43.52,20.54,22,96.45,72,90.49,81.51,54,31.88,55.43,6,71,W,64,75,95,48,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,B,D,24,Subject Content 9 for Art,Assessment Area 9 for Art,3.83,97.99,58,63.92,47,51.18,1.91,89,25.64,86.61,63,74,W,77,26,33,34,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,A,B,6,Subject Content 10 for Art,Assessment Area 10 for Art,71.33,91.53,14,55.71,36,97.88,37.48,38,28.3,66.32,16,57,W,14,33,70,90,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,B,C,22,Subject Content 1 for Art,Assessment Area 1 for Art,72.73,19.94,11,5.77,85,16.32,89.94,81,32.83,25.42,29,44,W,13,38,18,79,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,C,A,8,Subject Content 2 for Art,Assessment Area 2 for Art,29.69,31.8,84,12.98,10,39.13,94.04,58,15.28,33.97,42,96,W,87,94,87,41,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,D,B,4,Subject Content 3 for Art,Assessment Area 3 for Art,6.79,43.32,44,76.08,16,36.58,1.07,96,13.59,55.07,18,58,W,4,87,2,68,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,D,B,21,Subject Content 4 for Art,Assessment Area 4 for Art,84.3,66.77,76,72.75,58,62.33,80.28,77,24.28,92.17,25,95,W,16,15,88,64,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,B,A,25,Subject Content 5 for Art,Assessment Area 5 for Art,99.43,29.27,51,52.55,58,28.67,85.51,51,42.59,75.23,67,58,W,95,35,95,20,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,A,B,12,Subject Content 6 for Art,Assessment Area 6 for Art,12.18,55.73,55,53.55,67,64.69,87.92,37,97.56,46.8,70,14,W,73,34,61,93,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,A,C,14,Subject Content 7 for Art,Assessment Area 7 for Art,85.11,68.76,67,77.98,68,92.53,49.48,23,49.28,49.9,31,88,W,3,22,6,99,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,B,A,11,Subject Content 8 for Art,Assessment Area 8 for Art,77.98,11.88,62,90.51,39,10.2,55.44,42,87.28,31.79,75,1,W,73,8,84,26,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,A,B,5,Subject Content 9 for Art,Assessment Area 9 for Art,83.76,95.47,47,30.69,69,41.18,58.21,64,18.06,54.55,33,91,W,68,75,13,32,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,C,A,23,Subject Content 10 for Art,Assessment Area 10 for Art,37.66,51.53,13,60.6,78,31.87,36.07,89,24.77,83.74,10,10,W,15,16,91,25,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,A,B,9,Subject Content 1 for Art,Assessment Area 1 for Art,53.36,65.2,97,24.63,81,15.17,15.98,24,52.62,29.85,18,3,W,54,86,53,42,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,C,C,10,Subject Content 2 for Art,Assessment Area 2 for Art,71.52,89.3,76,28.15,13,56.28,55.26,53,49.24,63.65,16,89,W,73,90,73,97,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,A,D,13,Subject Content 3 for Art,Assessment Area 3 for Art,99.95,75.94,78,80.23,89,49.78,83.74,54,52.64,0.17,75,65,W,64,81,80,90,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,C,A,20,Subject Content 4 for Art,Assessment Area 4 for Art,31.03,8.41,58,33.68,57,77.32,17.02,95,91.26,36.47,76,1,W,81,16,27,89,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,B,D,19,Subject Content 5 for Art,Assessment Area 5 for Art,26.35,46.53,91,3.02,25,85.27,98.36,21,95.32,44.5,66,54,W,85,6,66,19,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,A,D,16,Subject Content 1 for Music,Assessment Area 1 for Music,58.65,87.84,51,18.68,41,43.64,44.8,54,14.97,74.71,82,48,W,90,62,19,79,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,D,4,Subject Content 2 for Music,Assessment Area 2 for Music,84.33,45.37,68,19.55,100,67.71,57.23,58,83.37,75.86,25,9,W,22,51,41,37,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,Z,14,Subject Content 3 for Music,Assessment Area 3 for Music,51.17,21.25,48,53.94,20,42.32,11.3,10,16.02,58.03,61,49,W,4,99,8,97,Distinction
